State,SDR,Local_Morans_I,p_value,LISA_cluster
PR,3.1366339336134494,1.3421063551741024,0.1251,Not significant
GO,2.397722049442197,-0.03256178156657443,0.3756,Not significant
RS,1.965537210365005,1.5987613380681855,0.1193,Not significant
SC,1.5688035867761352,2.424412583524162,0.0053,High-High
MG,1.2005215309427295,0.19015503903784828,0.1303,Not significant
DF,1.1659565849962694,0.6185835167100734,0.0564,Not significant
ES,1.0819908662184778,-0.011358405719571567,0.4371,Not significant
MS,0.9603895873680101,0.19032078213696577,0.0077,High-High
SP,0.879066813992336,0.06139359674108134,0.0381,High-High
AC,0.850738165569822,-0.012478390160249632,0.2739,Not significant
RJ,0.7396097013912909,-0.039137473559226955,0.2772,Not significant
PI,0.7302359213249802,0.05430924640774109,0.1817,Not significant
TO,0.7041791616192064,0.006379890638142113,0.4905,Not significant
RO,0.675476218533339,0.09280908459838719,0.2326,Not significant
SE,0.6201611486244634,0.21376406846756582,0.0961,Not significant
PE,0.5719786498042408,0.21516768711397496,0.039,Low-Low
CE,0.53952037903534,0.2578006727809919,0.0487,Low-Low
BA,0.4838070797620537,-0.06457822182449872,0.3422,Not significant
MA,0.46003833417070633,0.16810930721188122,0.3037,Not significant
MT,0.4101445640939343,-0.053960746383958966,0.3984,Not significant
PA,0.3513504022249954,0.4221580111733669,0.0107,Low-Low
AM,0.30257845987391374,0.33215732202354303,0.1064,Not significant
RR,0.23002577236787802,0.580946293692902,0.0925,Not significant
AP,0.1267366445716902,0.6477903697422382,0.2274,Not significant
AL,0.12311426429436942,0.37012500707722407,0.2411,Not significant
PB,0.11648254106688744,0.602205025654921,0.0759,Not significant
RN,0.06316657477341392,0.7405318439240411,0.0781,Not significant
