State,Region,Procedures (N),Population,"Rate per 100,000",Mortality (%),Mean LOS (days),Mean Cost (BRL)
PR,Sul,10038,11433957,87.8,1.16,5.2,11923.78
GO,Centro-Oeste,4710,7018354,67.1,0.4,5.3,12849.47
RS,Sul,6259,11377239,55.0,1.05,8.9,11817.58
SC,Sul,3146,7164788,43.9,0.89,7.3,11136.48
MG,Sudeste,7113,21168791,33.6,1.45,8.5,11911.0
DF,Centro-Oeste,984,3015268,32.6,1.02,12.4,9475.54
ES,Sudeste,1217,4018650,30.3,0.74,8.3,9073.72
MS,Centro-Oeste,747,2778986,26.9,0.94,12.5,10926.82
SP,Sudeste,11298,45919049,24.6,1.88,10.2,10703.12
AC,Norte,210,881935,23.8,1.9,8.5,7875.18
RJ,Sudeste,3574,17264943,20.7,1.68,14.7,8656.98
PI,Nordeste,669,3273227,20.4,1.35,14.6,12621.8
TO,Norte,310,1572866,19.7,1.94,21.3,8502.9
RO,Norte,336,1777225,18.9,0.6,11.9,6208.12
SE,Nordeste,399,2298696,17.4,3.01,11.9,8849.91
PE,Nordeste,1530,9557071,16.0,0.92,11.2,12889.25
CE,Nordeste,1379,9132078,15.1,1.23,11.9,11565.47
BA,Nordeste,2014,14873064,13.5,1.94,12.5,10872.18
MA,Nordeste,911,7075181,12.9,0.88,13.7,9698.81
MT,Centro-Oeste,400,3484466,11.5,1.5,8.8,11356.8
PA,Norte,846,8602865,9.8,1.89,15.2,11297.61
AM,Norte,351,4144597,8.5,2.56,11.4,5173.0
RR,Norte,39,605761,6.4,2.56,10.9,6403.85
AP,Norte,30,845731,3.5,0.0,11.9,3437.35
AL,Nordeste,115,3337357,3.4,1.74,10.2,10466.48
PB,Nordeste,131,4018127,3.3,0.76,9.6,12821.58
RN,Nordeste,62,3506853,1.8,1.61,6.8,11009.44
