State,Region,N_procedures,Population,Cumulative_rate_100k,Annual_rate_100k,SDR,SDR_category
PR,Sul,10038,11433957,87.8,14.63,2.87,High (>1.5)
GO,Centro-Oeste,4710,7018354,67.1,11.18,2.19,High (>1.5)
RS,Sul,6259,11377239,55.0,9.17,1.80,High (>1.5)
SC,Sul,3146,7164788,43.9,7.32,1.44,Above average (1.0-1.5)
MG,Sudeste,7113,21168791,33.6,5.60,1.10,Above average (1.0-1.5)
DF,Centro-Oeste,984,3015268,32.6,5.44,1.07,Above average (1.0-1.5)
ES,Sudeste,1217,4018650,30.3,5.05,0.99,Average (0.7-1.0)
MS,Centro-Oeste,747,2778986,26.9,4.48,0.88,Average (0.7-1.0)
SP,Sudeste,11298,45919049,24.6,4.10,0.80,Average (0.7-1.0)
AC,Norte,210,881935,23.8,3.97,0.78,Average (0.7-1.0)
RJ,Sudeste,3574,17264943,20.7,3.45,0.68,Below average (0.4-0.7)
PI,Nordeste,669,3273227,20.4,3.41,0.67,Below average (0.4-0.7)
TO,Norte,310,1572866,19.7,3.28,0.64,Below average (0.4-0.7)
RO,Norte,336,1777225,18.9,3.15,0.62,Below average (0.4-0.7)
SE,Nordeste,399,2298696,17.4,2.89,0.57,Below average (0.4-0.7)
PE,Nordeste,1530,9557071,16.0,2.67,0.52,Below average (0.4-0.7)
CE,Nordeste,1379,9132078,15.1,2.52,0.49,Below average (0.4-0.7)
BA,Nordeste,2014,14873064,13.5,2.26,0.44,Below average (0.4-0.7)
MA,Nordeste,911,7075181,12.9,2.15,0.42,Below average (0.4-0.7)
MT,Centro-Oeste,400,3484466,11.5,1.91,0.37,Low (<0.4)
PA,Norte,846,8602865,9.8,1.64,0.32,Low (<0.4)
AM,Norte,351,4144597,8.5,1.41,0.28,Low (<0.4)
RR,Norte,39,605761,6.4,1.07,0.21,Low (<0.4)
AP,Norte,30,845731,3.5,0.59,0.12,Low (<0.4)
AL,Nordeste,115,3337357,3.4,0.57,0.11,Low (<0.4)
PB,Nordeste,131,4018127,3.3,0.54,0.11,Low (<0.4)
RN,Nordeste,62,3506853,1.8,0.29,0.06,Low (<0.4)
