Origin_state,Destination_state,N_patients,Pct_of_cross_state,Cumulative_pct
GO,DF,241,17.8,17.8
SC,PR,174,12.9,30.7
MG,DF,86,6.4,37.1
MA,PI,52,3.8,40.9
MG,SP,49,3.6,44.5
SP,MG,48,3.5,48.0
BA,PE,48,3.5,51.5
BA,SE,22,1.6,53.1
PR,SP,19,1.4,54.5
BA,MG,19,1.4,55.9
SP,PR,18,1.3,57.2
BA,DF,17,1.3,58.5
MS,SP,14,1.0,59.5
MT,GO,13,1.0,60.5
PE,BA,12,0.9,61.4
TO,DF,12,0.9,62.3
GO,SP,12,0.9,63.2
TO,GO,10,0.7,63.9
SP,DF,10,0.7,64.6
SP,RJ,10,0.7,65.3
PB,PE,10,0.7,66.0
AL,PE,10,0.7,66.7
AM,AC,10,0.7,67.4
ES,MG,9,0.7,68.1
PR,RS,9,0.7,68.8
PR,SC,9,0.7,69.5
GO,MG,9,0.7,70.2
BA,ES,8,0.6,70.8
MT,DF,8,0.6,71.4
MA,DF,7,0.5,71.9
PR,DF,7,0.5,72.4
MG,ES,7,0.5,72.9
AC,DF,7,0.5,73.4
MG,RJ,7,0.5,73.9
SP,MS,7,0.5,74.4
AM,RO,7,0.5,74.9
RO,AC,7,0.5,75.4
SP,BA,7,0.5,75.9
RJ,MG,6,0.4,76.3
RO,PR,6,0.4,76.7
MA,PA,6,0.4,77.1
MT,MS,6,0.4,77.5
SC,RS,6,0.4,77.9
PI,DF,6,0.4,78.3
RS,SC,6,0.4,78.7
RJ,SP,6,0.4,79.1
GO,MA,5,0.4,79.5
MG,BA,5,0.4,79.9
SC,MS,5,0.4,80.3
PA,MA,5,0.4,80.7
SC,DF,4,0.3,81.0
AL,DF,4,0.3,81.3
SP,SC,4,0.3,81.6
MG,PR,4,0.3,81.9
RS,PR,4,0.3,82.2
RO,SP,4,0.3,82.5
SC,ES,3,0.2,82.7
RJ,DF,3,0.2,82.9
TO,MA,3,0.2,83.1
MS,GO,3,0.2,83.3
RJ,ES,3,0.2,83.5
SP,GO,3,0.2,83.7
PR,GO,3,0.2,83.9
RO,RJ,3,0.2,84.1
AC,RO,3,0.2,84.3
MT,SP,3,0.2,84.5
PA,AP,3,0.2,84.7
PA,DF,3,0.2,84.9
RS,SP,3,0.2,85.1
PA,GO,3,0.2,85.3
PA,TO,3,0.2,85.5
RN,DF,3,0.2,85.7
PB,CE,3,0.2,85.9
CE,PI,3,0.2,86.1
AP,PA,3,0.2,86.3
CE,PR,3,0.2,86.5
GO,TO,3,0.2,86.7
TO,SP,2,0.1,86.8
SC,MG,2,0.1,86.9
PE,MG,2,0.1,87.0
PE,PI,2,0.1,87.1
RR,DF,2,0.1,87.2
PE,SP,2,0.1,87.3
SC,SP,2,0.1,87.4
BA,GO,2,0.1,87.5
SC,PE,2,0.1,87.6
ES,BA,2,0.1,87.7
PR,MG,2,0.1,87.8
BA,PI,2,0.1,87.9
RJ,CE,2,0.1,88.0
RJ,BA,2,0.1,88.1
ES,RJ,2,0.1,88.2
DF,GO,2,0.1,88.3
