State,Total_residents,Total_treated,Exported,Imported,Net_flow,Pct_imported,Pct_exported
DF,1072,1494,8,430,422,28.8,0.7
PR,10507,10671,54,218,164,2.0,0.5
PI,767,828,8,69,61,8.3,1.0
PE,1582,1634,24,76,52,4.7,1.5
SE,438,459,3,24,21,5.2,0.7
ES,1341,1351,17,27,10,2.0,1.3
AC,227,234,10,17,7,7.3,4.4
RJ,3831,3838,25,32,7,0.8,0.7
SP,12251,12257,118,124,6,1.0,1.0
AP,45,45,3,3,0,6.7,6.7
CE,1495,1494,15,14,-1,0.9,1.0
MS,855,854,24,23,-1,2.7,2.8
RS,6795,6789,24,18,-6,0.3,0.4
PA,920,914,19,13,-6,1.4,2.1
RR,42,34,8,0,-8,0.0,19.0
RN,63,53,10,0,-10,0.0,15.9
RO,344,331,24,11,-13,3.3,7.0
PB,152,137,19,4,-15,2.9,12.5
AL,127,109,19,1,-18,0.9,15.0
AM,368,348,23,3,-20,0.9,6.2
TO,328,308,30,10,-20,3.2,9.1
MT,419,391,37,9,-28,2.3,8.8
MA,1019,964,72,17,-55,1.8,7.1
MG,7617,7560,163,106,-57,1.4,2.1
BA,2191,2108,121,38,-83,1.8,5.5
SC,3400,3221,201,22,-179,0.7,5.9
GO,4911,4681,274,44,-230,0.9,5.6
